Find ID,Barcode ID,type,value,Protocol
6491/21,Reindeer,Acid_P1105,NA,Acid_P1105
6759/1,Reindeer,Ambic_P1105,0.76,Ambic_P1105
6759/1,Reindeer,Acid_P1105,0.85,Acid_P1105
6759/2,Reindeer,Ambic_P1105,0.74,Ambic_P1105
6759/2,Reindeer,Acid_P1105,0.82,Acid_P1105
6759/3,Reindeer,Ambic_P1105,0.78,Ambic_P1105
6759/3,Reindeer,Acid_P1105,0.82,Acid_P1105
6759/4,Equidae,Ambic_P1105,0.75,Ambic_P1105
6759/4,Equidae,Acid_P1105,0.87,Acid_P1105
6759/5,Reindeer,Ambic_P1105,0.81,Ambic_P1105
6759/5,Reindeer,Acid_P1105,0.87,Acid_P1105
6785/3,Reindeer,Ambic_P1105,0.77,Ambic_P1105
6785/3,Reindeer,Acid_P1105,0.86,Acid_P1105
6785/2,Elephantidae,Ambic_P1105,0.76,Ambic_P1105
6785/2,Elephantidae,Acid_P1105,0.87,Acid_P1105
1892/4,Elephantidae,Ambic_P1105,NA,Ambic_P1105
1892/4,Elephantidae,Acid_P1105,0.82,Acid_P1105
788,Reindeer,Ambic_P1105,NA,Ambic_P1105
788,Reindeer,Acid_P1105,NA,Acid_P1105
5241/2,Reindeer,Ambic_P1105,0.77,Ambic_P1105
5241/2,Reindeer,Acid_P1105,0.87,Acid_P1105
393/1,Reindeer,Ambic_P1105,0.75,Ambic_P1105
393/1,Reindeer,Acid_P1105,0.85,Acid_P1105
393/2,Reindeer,Ambic_P1105,NA,Ambic_P1105
393/2,Reindeer,Acid_P1105,0.9,Acid_P1105
6804,Reindeer,Ambic_P1105,NA,Ambic_P1105
6804,Reindeer,Acid_P1105,NA,Acid_P1105
5160,Reindeer,Ambic_P1105,NA,Ambic_P1105
5160,Reindeer,Acid_P1105,0.83,Acid_P1105
6315,Elephantidae,Ambic_P1105,NA,Ambic_P1105
6315,Elephantidae,Acid_P1105,0.78,Acid_P1105
6429/2,Reindeer,Ambic_P1105,NA,Ambic_P1105
6429/2,Reindeer,Acid_P1105,0.65,Acid_P1105
6429/3,Elephantidae,Ambic_P1105,0.7,Ambic_P1105
6429/3,Elephantidae,Acid_P1105,0.77,Acid_P1105
6356/30,Elephantidae,Ambic_P1105,0.81,Ambic_P1105
6356/30,Elephantidae,Acid_P1105,0.89,Acid_P1105
6356/1,Elephantidae,Ambic_P1105,0.79,Ambic_P1105
6356/1,Elephantidae,Acid_P1105,0.79,Acid_P1105
